	Top	FDR	logFC.2	logFC.3	logFC.4	logFC.5
Aurkb	1	3.57731459036545e-32	-7.39137048940061	-6.77227082342766	-1.95145075542623	-6.41735160332462
Tk1	1	6.14583238348605e-29	-4.79357274943543	-7.610521944668	-3.52963403498811	-4.24172385898634
Cdca8	1	6.27977508120356e-23	-6.98353186925976	-5.14867209037853	-2.52622785978127	-7.26824410188525
Myh11	1	7.46521687382308e-22	4.37714191593754	4.37854437192151	4.45150905933443	0.9387643805397
Ccna2	2	1.80015331041228e-29	-7.4330496627687	-7.08153074893503	-2.55994736892407	-7.31965669537105
Pclaf	2	2.31327100093205e-25	-5.56714921671886	-7.57990988274836	-2.4323481751295	-5.2901842158707
Cks1b	2	2.06467827649085e-18	-6.81767090676048	-6.04001181928717	-4.45638344358755	-6.40480503325219
Pirb	2	2.50560067866424e-15	5.19604859960812	5.24523582985688	5.86618518791929	-0.0110358172874627
Ube2c	3	4.84313636309891e-28	-7.94593152928904	-4.23898926544224	-2.14802144694623	-6.67791590516897
Rrm2	3	1.52352395791045e-24	-5.45829619585342	-7.75339990141175	-3.18046561232799	-4.95579772214588
Cdca3	3	1.07323537097731e-20	-6.64938615089387	-6.02415943630164	-2.67706381158796	-7.07055160956914
ENSMUSG00000107470	3	1.79713924845369e-11	-3.06199236985035	-3.1098206111035	-3.19919408507365	-0.76666348336045
Cdc20	4	2.40707884787286e-27	-7.58173340140184	-4.49715053223946	-2.46194085937335	-7.07706608432123
Top2a	4	3.54772750362239e-24	-7.25347350445581	-7.1313729163031	-2.23535525673462	-6.7436319276482
Shmt2	4	2.11198356245966e-13	-5.5905107982023	-5.57119171373658	-5.14743625322152	-3.90153294803412
Hmgb2	4	4.33080173172101e-13	-3.13005510972661	-2.97124646504249	-1.00760890790142	-3.5368131883687
Prc1	5	6.80966594709639e-26	-7.10197079185379	-5.83608858644452	-0.468585582765772	-6.90248106015094
Bub1b	5	1.57578537107594e-16	-5.8802284841432	-4.38628131913503	-1.37814490848989	-6.67704250135267
Cd53	5	1.15160232807257e-12	5.80683270094813	5.91488803900975	5.61262773100048	-0.080346975428719
Pimreg	6	1.05486584180076e-25	-7.39186045504905	-6.10292866850388	-0.940604708842791	-6.98292298857917
Tpx2	6	1.97428722843412e-21	-6.67235034302405	-5.12982293870506	-1.18816490431648	-7.14035717831679
Spc24	6	2.9219094989033e-21	-5.82931261113172	-6.39984210858092	-2.84039701014211	-5.4025498523059
Mcm2	6	3.67411399615517e-12	-4.62675680181207	-6.21613865241089	-6.09659493383061	-3.7029433252939
Aurka	7	1.52352395791045e-24	-7.04967359701175	-4.05747344399375	-1.42171343190368	-6.38462305396219
Birc5	7	3.60442750672651e-22	-7.21181693281784	-6.46273863807147	-3.1249322433692	-6.92374826675141
Pbk	7	1.40553302686957e-20	-6.56223312737239	-7.75913674833927	-2.89897963099172	-5.19486895575357
Phgdh	7	1.1385933769426e-10	-4.24838158995007	-4.27383067122398	-3.99323057756662	-3.12243767299784
Lig1	8	1.78878699879956e-20	-4.12379956393579	-6.95341938730287	-3.92618519697301	-2.67789236280206
Mad2l1	8	8.3196544987095e-17	-6.06481604835551	-6.12858592419722	-3.37136837724932	-6.37750024358363
Rpn1	8	1.14682831258097e-09	-3.91947839643312	-3.9707585327568	-3.86215397874626	-1.60538677965207
Tacc3	9	2.43063664385789e-23	-6.6832940327242	-5.75441881749118	-1.1880102058947	-6.61281686105998
Tyms	9	1.15061482691328e-19	-5.43928669041267	-7.1176821396438	-3.67971486806985	-4.49968650255523
Ccnb2	9	4.19119609201244e-14	-6.35786727862847	-3.8366240874511	-3.62455466930196	-6.48486225330553
Mcm6	9	1.88044613799047e-13	-4.65837814818853	-6.11072875516694	-5.73022418218778	-3.4687236916234
Rfc5	10	1.15061482691328e-19	-5.78121861763192	-6.69434563567792	-3.40736512011833	-5.19199591198926
Ckap2l	10	1.34597403536502e-18	-6.01336731388819	-4.1615678635798	-0.193446468462982	-6.7013100304012
Rps2	10	1.15682304251793e-08	-0.642794183466857	-0.614120177003552	-0.861773119863193	0.427621529336688
Mcm5	11	1.40253644150442e-19	-5.86345562021996	-7.47819005890612	-6.28385838291123	-4.72557852070819
Spns2	11	1.60046718454025e-14	-5.74604973385452	-5.36723591499542	-5.379703338216	-1.56141732263289
Cenph	11	5.86664716670266e-09	-3.23671607652979	-3.98523072531847	-2.07742091354268	-4.18593910688359
ENSMUSG00000046057	12	5.90012396486221e-19	-3.7673806995056	-5.63063294785856	-1.40072029152623	-3.67085008532917
Hsp90aa1	12	1.12032545503425e-13	-1.70602659061799	-1.74602222199981	-1.75300411517379	-0.647998513961768
Cenpe	12	1.31642546999145e-11	-5.53311713564009	-2.93207529797935	-0.337606867781101	-6.46939157117327
Asf1b	13	6.57648059851411e-19	-5.60654277552215	-7.08432324970696	-3.36655137179976	-5.52914076074565
Kif11	13	5.42509689123069e-16	-6.19836089670618	-5.55838077093482	-0.407537667365133	-7.23702764004877
ENSMUSG00000082896	13	3.78791602216476e-11	-1.88640030712542	-1.98889415602801	-1.95809170166473	-1.02319797565511
Smc2	14	2.81206238158861e-21	-6.12274376368657	-6.20065022520464	-1.90427740970085	-6.49282832409253
ENSMUSG00000070713	14	3.61653953639252e-10	-2.84251010056325	-2.54175340946054	-2.25487853307527	-2.94031186540355
Rpl8	14	1.88801629772582e-08	-0.594725516800968	-0.626135558583786	-0.758637220417799	0.246966803036235
Prim1	15	3.43438903364195e-18	-4.43378532546787	-6.85694668059519	-4.37045073808368	-3.29954872355677
Srm	15	4.07096863386493e-11	-5.24578631499727	-4.09468234311923	-4.4578745491459	-0.035644646287767
Incenp	15	1.8007771394938e-10	-5.0150517627584	-4.67236450876811	-0.710298117975671	-5.86994640118729
Slc7a5	16	3.18777076741982e-20	-6.16064867771252	-5.26651615139251	-3.47608655412724	-3.01792578822784
Nup85	16	3.73936185797006e-18	-5.66637021037241	-6.40875531352731	-3.31430006363255	-3.02720410995123
Lockd	16	4.9095901278142e-14	-4.73664361335466	-3.63430654299626	-2.27830250497165	-5.18800827643591
Hspe1	16	2.36044088621872e-08	-1.80070153651059	-1.90907897032816	-2.08695783943045	0.354648122586603
Ncapd2	17	5.71983315762118e-20	-6.15177861645801	-6.07515675872168	-3.13436778252924	-5.51982995153908
Aunip	17	8.1637570478108e-17	-4.26435020479952	-6.12945801559816	-1.25419916361547	-1.46128189861356
Kif23	17	9.19836495994775e-15	-6.13114849686901	-3.54372876154822	-1.0516928260937	-6.84316553944999
ENSMUSG00000101431	17	1.8007771394938e-10	-4.0600465975976	-4.06784882548952	-3.66998593541646	-2.82183257267558
Cks2	18	2.81520106293334e-19	-5.57945707192268	-4.09708734636301	-2.5289091863476	-5.05136948516828
Ckap5	18	1.97700987172469e-10	-4.60213734841804	-2.95831785372452	-1.32462525985299	-5.07663342346592
Uchl3	18	2.33414943242557e-09	-4.27472403931181	-4.55778107541944	-4.09827694769445	-1.22024596303994
Rfc4	19	1.08240238770985e-16	-5.39228048290228	-6.24547257214352	-3.50174237131323	-2.67417343944557
Ran	19	9.57357830691777e-16	-2.21579452171423	-2.03795903684268	-1.82685027166369	-1.56798131245046
Smc4	19	1.05421104947109e-11	-4.97713244492912	-4.85347009346921	-2.02168515889309	-4.81278295397086
Tuba1b	20	1.56700707875685e-18	-3.54283931900823	-3.18619813109767	-1.42190961511656	-3.58430444793128
Pold1	20	2.1882127959024e-16	-5.55717235820546	-6.48861222660589	-3.43936842171658	-3.04312252045613
P2rx7	20	3.7224038212538e-13	5.4669087121886	5.06421822975814	4.96094707339425	0.788418956416982
Kif20a	20	7.25736052002716e-11	-5.41365450342425	-2.78231024928012	-0.64145221877263	-6.04214351529832
Hmmr	21	2.04326797519266e-18	-6.54620608915179	-3.84121317072642	-1.13417573125167	-5.87832613057155
Cenpa	21	1.22856748470466e-16	-6.78691527725978	-4.20497650240927	-3.4513041355579	-6.52391142651832
Pmf1	21	1.27620835240703e-16	-5.87317147880719	-6.28011863978683	-4.12491205169269	-5.48946612852147
Mcm3	21	1.57052065181519e-15	-4.76649560160588	-6.09168486940627	-5.52128749179868	-3.19090873992058
Psat1	22	2.06467827649085e-18	-6.63050705995354	-5.73443656831028	-3.42478369541729	-4.98188861794078
Rnaseh2b	22	3.52041334672278e-16	-5.23040287315311	-6.10996286604421	-4.33826562206342	-3.33544895107058
Kif20b	22	5.25906598691185e-12	-4.76839991302503	-3.34159962251315	-0.0694519880271419	-5.51734774406202
Rpl14	22	9.21639540547445e-09	-0.817322383281948	-0.65836076357017	-0.856848461856143	0.153062594400194
H2afz	23	6.70123887855472e-12	-1.99916562435861	-1.94964437685278	-1.19746397031143	-2.45119068541715
Nop10	23	4.28941625763492e-09	-3.27047898241302	-3.17105059549813	-2.99794546141695	-1.08593099512492
ENSMUSG00000084353	24	3.21489657317204e-18	-4.47898962566055	-3.40755940953413	-1.58740586242342	-4.00367799312494
Pkmyt1	24	4.78025753694524e-16	-4.38673493215187	-6.2289139035683	-2.13383454799678	-5.36066974202135
Hmgn2	24	4.40215065242665e-09	-2.72021502685121	-2.49487544667711	-2.10020790917322	-2.69876131771281
Mif	24	1.27206842606894e-08	-2.44960508402051	-2.49737366542963	-2.54117283927648	-0.229875179970641
Mfsd2b	25	3.64074043912959e-18	-6.45696150418017	-4.39999292364794	-5.49086250775884	-0.166737306304442
Pola1	25	9.57357830691777e-16	-4.42299344386743	-6.11496907653607	-3.65396619958298	-2.79913029797549
Slc1a5	25	3.84008599042638e-10	-4.92714693443302	-4.25449639300616	-4.25005142977231	-0.592935649860268
Plk1	26	1.01260162667763e-17	-6.83625646394067	-3.97862359728164	-1.31419141326112	-6.98821620511647
Mcm4	26	1.2660065900619e-15	-3.99640016777838	-6.19890816187135	-4.70029432108184	-1.98403359604242
Ruvbl2	26	1.1942535163844e-08	-4.08394722400781	-4.14845851838128	-3.83571534692597	-2.54800258037115
Racgap1	27	1.29540876741204e-17	-6.18476492114009	-5.58867948613907	-1.35025480576963	-6.56793183903361
Dut	27	1.38078353375611e-15	-5.11775672425405	-6.04722808994952	-4.644140311685	-2.12968921644722
Pttg1	27	3.33605096436874e-10	-4.6312323059936	-2.63561438086788	-2.39247656007392	-4.79998396539905
ENSMUSG00000080921	27	2.0798556119908e-07	-0.810021637900445	-0.772447973895951	-0.946145187165527	0.371487027460756
Tubb4b	28	8.28922593379486e-11	-3.01391647606496	-1.66694556692796	-0.0716631219018579	-3.30099156290678
Uchl4	28	5.68551041321355e-10	-3.72768338314654	-3.89868489752769	-3.32409391157608	-1.13513175161906
